epoch,accuracy,loss,mean_io_u,val_accuracy,val_loss,val_mean_io_u
0,0.7524373,0.6448046028614044,0.2409234,0.95022583,0.5390770673751831,0.25
1,0.860981,0.5983415231108665,0.23589142,0.94989854,0.5398188591003418,0.25
2,0.88501143,0.5826265835762023,0.23737997,0.946146,0.5409055888652802,0.24900584
3,0.8968173,0.5734397804737091,0.2396896,0.87869567,0.5748769849538803,0.23012732
4,0.9059691,0.5657015237212181,0.24150601,0.9430283,0.5400859504938126,0.2483312
5,0.91360384,0.5597533044219017,0.2429047,0.9440731,0.5376495033502579,0.24799587
6,0.9189995,0.5548521640896797,0.24405792,0.9480316,0.5332768887281418,0.24948429
7,0.92686945,0.5492457336187363,0.2453027,0.76140594,0.6438490927219391,0.2302839
8,0.9318945,0.5454236426949501,0.24599977,0.7157726,0.6735827296972274,0.25248492
9,0.9345516,0.5426740872859955,0.24677129,0.9367363,0.5401625871658325,0.25162283
10,0.9384937,0.5394271919131279,0.24677771,0.9418148,0.5337219953536987,0.24995922
11,0.9377816,0.5385893589258194,0.24700233,0.8472618,0.579252153635025,0.23751242
12,0.94260544,0.5353363621234893,0.24769518,0.94447327,0.5313223212957382,0.24888764
13,0.95022064,0.5315867307782173,0.24827449,0.9516247,0.5270407140254975,0.24995367
14,0.94672394,0.5320338523387909,0.24784319,0.15956727,0.9229728430509567,0.055671826
15,0.94799256,0.5308485400676727,0.24819721,0.8119606,0.5968856334686279,0.21769041
16,0.9494379,0.5295064237713814,0.24852522,0.9533104,0.5278224080801011,0.2500167
17,0.95273453,0.528012210726738,0.24907406,0.9518738,0.5266428142786026,0.24964482
18,0.9574138,0.5253669208288193,0.24921516,0.8462528,0.5798067629337311,0.2277365
19,0.95682925,0.5255249300599099,0.24948594,0.8638722,0.5705846905708313,0.22964455
20,0.9561308,0.5257590836286545,0.25003824,0.955629,0.5249293953180313,0.2500221
21,0.96152633,0.523068115413189,0.25010356,0.6040966,0.7433974206447601,0.30759662
22,0.9579872,0.5241633930802345,0.25049096,0.9525467,0.5269918471574784,0.24982134
23,0.9590784,0.5236253142356873,0.2509805,0.95298386,0.5267978549003601,0.24963515
24,0.9612498,0.5224863615632057,0.25107762,0.9558735,0.5251686602830887,0.25010633
25,0.9644847,0.5208660319447518,0.25094196,0.94099694,0.5373368084430694,0.24747558
26,0.9628182,0.5215816479921341,0.2530751,0.95639265,0.5249393165111542,0.25006974
27,0.96212417,0.52172994941473,0.25286782,0.9562538,0.5247329771518707,0.25030318
28,0.9647076,0.5204409232735634,0.25270504,0.95700455,0.5241405665874481,0.25066742
29,0.9625949,0.5213947448134423,0.25261858,0.95718575,0.5237009495496749,0.2516122
30,0.96336937,0.520936532318592,0.2529011,0.9586563,0.5232292056083679,0.2509159
31,0.965684,0.5197539523243904,0.25343528,0.9578636,0.5234572857618331,0.25143644
32,0.9683049,0.5184905251860619,0.25375828,0.95942956,0.5226363062858581,0.252
33,0.964783,0.5200699269771576,0.25419718,0.9599541,0.5223489880561829,0.25248447
34,0.96755046,0.5187546235322952,0.25450322,0.95990485,0.5223376601934433,0.25196293
35,0.96548676,0.51972019135952,0.25461262,0.9605198,0.5219958245754241,0.2522218
36,0.96472114,0.5200077822804451,0.25486928,0.9601002,0.5222088873386384,0.25287306
37,0.9678427,0.5185582941770553,0.25440472,0.96067464,0.5220554351806641,0.25225338
38,0.96851504,0.5182792562246322,0.25493434,0.96091765,0.5218463689088821,0.25321007
39,0.96654356,0.5191882953047753,0.25479814,0.95218694,0.5264829158782959,0.25013158
