epoch,loss,mean_io_u,val_loss,val_mean_io_u
0,0.6908988591432571,0.24997072,0.6325194389820099,0.2499774
1,0.6342713869810105,0.24871771,0.6182076948881149,0.23821034
2,0.6173346041440964,0.24580212,0.6048204203844071,0.23703307
3,0.6027156463861465,0.24366465,0.5966314285993576,0.23497573
4,0.5949596277475357,0.24275593,0.5869402132034302,0.23633261
5,0.585918861746788,0.24314864,0.5806797726154327,0.23952831
6,0.5762018269300461,0.24467407,0.5748925777673721,0.2408258
7,0.5725583188533783,0.24573112,0.5751758371591568,0.23991176
8,0.5654109065532684,0.24723677,0.563770103931427,0.24663518
9,0.5576176973581314,0.24787542,0.5558058686256409,0.24798161
10,0.5568021305799484,0.24810013,0.5523998492956161,0.2481427
11,0.5512789574861526,0.24816783,0.5489381315708161,0.24829909
12,0.5474568157196045,0.2481835,0.5469264831542969,0.24840963
13,0.5490023900270462,0.24825722,0.546047608613968,0.24840803
14,0.5464239664077759,0.2483103,0.5446650722026825,0.24849424
15,0.5473541918992996,0.24839428,0.5440503665208817,0.24847849
16,0.5462224053144455,0.24845207,0.543148584485054,0.24856973
17,0.5458802351951599,0.24857575,0.5429213876724244,0.2485766
18,0.5461261905431748,0.24875873,0.542460394859314,0.2487005
19,0.5419774516820908,0.24898504,0.5416712718009948,0.24903196
20,0.5416474269628525,0.24934943,0.5404685137271881,0.24956794
21,0.5401258141994476,0.24990031,0.5381104233264923,0.2499964
22,0.5376432101726532,0.24999957,0.5371460815668107,0.24999999
23,0.5376062794923783,0.24999976,0.5366368745565414,0.25
24,0.5381846746206284,0.25,0.5363603637218476,0.25
25,0.536685335636139,0.24999996,0.5360805722475052,0.25
26,0.5372556225061417,0.25000003,0.5358663660287857,0.25
27,0.5346044677495957,0.25,0.5356833811998367,0.25
28,0.5387153986692429,0.25000003,0.535563843846321,0.25
29,0.5348749445676804,0.25,0.5354075112342834,0.25
30,0.5357924301624298,0.25000003,0.5353122435808182,0.25
31,0.5359571624994278,0.25000003,0.535224997639656,0.25
32,0.5360730360746384,0.25000003,0.5351015322208404,0.25
33,0.5373249163627625,0.25,0.5350647834539414,0.25
34,0.53579633975029,0.25000003,0.5349790487289429,0.25
35,0.5362794864177703,0.25,0.5349258180856705,0.25
36,0.5379817036390304,0.25,0.5348476341962815,0.25
37,0.5363830091953278,0.25000003,0.5347928968667984,0.25
38,0.5375920284986496,0.25,0.5347457007169724,0.25
39,0.5357478550672531,0.25,0.5347021189928055,0.25
40,0.5357859627008438,0.25,0.5346676200628281,0.25
41,0.5338418662548066,0.25000003,0.5346171896457672,0.25
42,0.5350658855438233,0.25000003,0.5345868625640869,0.25
43,0.5350340827703476,0.25000003,0.5345440912246704,0.25
44,0.5356390397548676,0.25000003,0.5345197297334671,0.25
45,0.536218746304512,0.25000003,0.5344782462120056,0.25
46,0.5370122383832932,0.25,0.5344480483531951,0.25
47,0.5351917790174484,0.25000003,0.5344187191724777,0.25
48,0.5337249168157577,0.25,0.5344125519990921,0.25
49,0.5351140433549881,0.25000006,0.5343788729906083,0.25
